SBC,~BOOT,BEI,~A12-15,~A16-19,A15,A0,R/~W,.~DMAR,.BEI,.~A12-15,.A0,.R/~W,PHI2,,~RAM0,~BS0,~WE0,~RAM1,~BS1,~WE1,~ROM0,~ROM1,BEO,.~DMAA,.BEO
0,1,0,0,1,0,1,0,1,0,0,1,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,0,1,0,0,1,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,0,1,0,0,1,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,0,1,0,1,0,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,0,1,0,1,0,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,0,1,0,1,0,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,0,1,0,1,0,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,0,1,0,1,1,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,0,1,0,1,1,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,0,1,0,1,1,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,0,1,0,1,1,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,0,1,1,0,0,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,0,1,1,0,0,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,0,1,1,0,0,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,0,1,1,0,0,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,0,1,1,0,1,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,0,1,1,0,1,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,0,1,1,0,1,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,0,1,1,0,1,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,0,1,1,1,0,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,0,1,1,1,0,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,0,1,1,1,0,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,0,1,1,1,0,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,0,1,1,1,1,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,0,1,1,1,1,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,0,1,1,1,1,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,0,1,1,1,1,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,0,0,0,0,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,0,0,0,0,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,0,0,0,0,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,0,0,0,0,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,0,0,0,1,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,0,0,0,1,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,0,0,0,1,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,0,0,0,1,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,0,0,1,0,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,0,0,1,0,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,0,0,1,0,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,0,0,1,0,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,0,0,1,1,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,0,0,1,1,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,0,0,1,1,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,0,0,1,1,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,0,1,0,0,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,0,1,0,0,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,0,1,0,0,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,0,1,0,0,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,0,1,0,1,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,0,1,0,1,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,0,1,0,1,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,0,1,0,1,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,0,1,1,0,0,0,,0,1,0,1,X,1,1,1,0,0,0
0,1,0,0,1,0,1,1,0,1,1,0,0,1,,0,1,1,1,X,1,1,1,0,0,0
0,1,0,0,1,0,1,1,0,1,1,0,1,0,,0,1,1,1,X,1,1,1,0,0,0
0,1,0,0,1,0,1,1,0,1,1,0,1,1,,0,1,1,1,X,1,1,1,0,0,0
0,1,0,0,1,0,1,1,0,1,1,1,0,0,,1,X,1,0,1,0,1,1,0,0,0
0,1,0,0,1,0,1,1,0,1,1,1,0,1,,1,X,1,0,1,1,1,1,0,0,0
0,1,0,0,1,0,1,1,0,1,1,1,1,0,,1,X,1,0,1,1,1,1,0,0,0
0,1,0,0,1,0,1,1,0,1,1,1,1,1,,1,X,1,0,1,1,1,1,0,0,0
0,1,0,0,1,0,1,1,1,0,0,0,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,1,0,0,0,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,1,0,0,0,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,1,0,0,0,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,1,0,0,1,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,1,0,0,1,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,1,0,0,1,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,1,0,0,1,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,1,0,1,0,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,1,0,1,0,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,1,0,1,0,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,1,0,1,0,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,1,0,1,1,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,1,0,1,1,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,1,0,1,1,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,1,0,1,1,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,0,1,1,1,1,0,0,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,1,1,0,0,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,1,1,0,0,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,1,1,0,0,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,1,1,0,1,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,1,1,0,1,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,1,1,0,1,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,1,1,0,1,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,1,1,1,0,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,1,1,1,0,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,1,1,1,0,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,1,1,1,0,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,1,1,1,1,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,1,1,1,1,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,1,1,1,1,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,0,1,1,1,1,1,1,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,0,0,0,0,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,0,0,0,0,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,0,0,0,0,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,0,0,0,0,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,0,0,0,1,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,0,0,0,1,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,0,0,0,1,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,0,0,0,1,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,0,0,1,0,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,0,0,1,0,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,0,0,1,0,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,0,0,1,0,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,0,0,1,1,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,0,0,1,1,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,0,0,1,1,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,0,0,1,1,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,0,1,0,0,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,0,1,0,0,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,0,1,0,0,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,0,1,0,0,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,0,1,0,1,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,0,1,0,1,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,0,1,0,1,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,0,1,0,1,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,0,1,1,0,0,0,,0,1,0,1,X,1,1,1,0,0,0
0,1,0,0,1,1,0,0,0,1,1,0,0,1,,0,1,1,1,X,1,1,1,0,0,0
0,1,0,0,1,1,0,0,0,1,1,0,1,0,,0,1,1,1,X,1,1,1,0,0,0
0,1,0,0,1,1,0,0,0,1,1,0,1,1,,0,1,1,1,X,1,1,1,0,0,0
0,1,0,0,1,1,0,0,0,1,1,1,0,0,,1,X,1,0,1,0,1,1,0,0,0
0,1,0,0,1,1,0,0,0,1,1,1,0,1,,1,X,1,0,1,1,1,1,0,0,0
0,1,0,0,1,1,0,0,0,1,1,1,1,0,,1,X,1,0,1,1,1,1,0,0,0
0,1,0,0,1,1,0,0,0,1,1,1,1,1,,1,X,1,0,1,1,1,1,0,0,0
0,1,0,0,1,1,0,0,1,0,0,0,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,1,0,0,0,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,1,0,0,0,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,1,0,0,0,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,1,0,0,1,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,1,0,0,1,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,1,0,0,1,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,1,0,0,1,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,1,0,1,0,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,1,0,1,0,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,1,0,1,0,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,1,0,1,0,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,1,0,1,1,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,1,0,1,1,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,1,0,1,1,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,1,0,1,1,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,0,1,1,0,0,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,1,1,0,0,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,1,1,0,0,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,1,1,0,0,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,1,1,0,1,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,1,1,0,1,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,1,1,0,1,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,1,1,0,1,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,1,1,1,0,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,1,1,1,0,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,1,1,1,0,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,1,1,1,0,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,1,1,1,1,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,1,1,1,1,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,1,1,1,1,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,0,1,1,1,1,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,0,0,0,0,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,0,0,0,0,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,0,0,0,0,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,0,0,0,0,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,0,0,0,1,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,0,0,0,1,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,0,0,0,1,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,0,0,0,1,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,0,0,1,0,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,0,0,1,0,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,0,0,1,0,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,0,0,1,0,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,0,0,1,1,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,0,0,1,1,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,0,0,1,1,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,0,0,1,1,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,0,1,0,0,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,0,1,0,0,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,0,1,0,0,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,0,1,0,0,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,0,1,0,1,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,0,1,0,1,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,0,1,0,1,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,0,1,0,1,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,0,1,1,0,0,0,,0,1,0,1,X,1,1,1,0,0,0
0,1,0,0,1,1,0,1,0,1,1,0,0,1,,0,1,1,1,X,1,1,1,0,0,0
0,1,0,0,1,1,0,1,0,1,1,0,1,0,,0,1,1,1,X,1,1,1,0,0,0
0,1,0,0,1,1,0,1,0,1,1,0,1,1,,0,1,1,1,X,1,1,1,0,0,0
0,1,0,0,1,1,0,1,0,1,1,1,0,0,,1,X,1,0,1,0,1,1,0,0,0
0,1,0,0,1,1,0,1,0,1,1,1,0,1,,1,X,1,0,1,1,1,1,0,0,0
0,1,0,0,1,1,0,1,0,1,1,1,1,0,,1,X,1,0,1,1,1,1,0,0,0
0,1,0,0,1,1,0,1,0,1,1,1,1,1,,1,X,1,0,1,1,1,1,0,0,0
0,1,0,0,1,1,0,1,1,0,0,0,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,1,0,0,0,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,1,0,0,0,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,1,0,0,0,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,1,0,0,1,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,1,0,0,1,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,1,0,0,1,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,1,0,0,1,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,1,0,1,0,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,1,0,1,0,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,1,0,1,0,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,1,0,1,0,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,1,0,1,1,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,1,0,1,1,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,1,0,1,1,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,1,0,1,1,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,0,1,1,1,0,0,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,1,1,0,0,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,1,1,0,0,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,1,1,0,0,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,1,1,0,1,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,1,1,0,1,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,1,1,0,1,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,1,1,0,1,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,1,1,1,0,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,1,1,1,0,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,1,1,1,0,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,1,1,1,0,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,1,1,1,1,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,1,1,1,1,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,1,1,1,1,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,0,1,1,1,1,1,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,1,0,0,0,0,0,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,0,0,0,0,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,0,0,0,0,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,0,0,0,0,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,0,0,0,1,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,0,0,0,1,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,0,0,0,1,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,0,0,0,1,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,0,0,1,0,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,0,0,1,0,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,0,0,1,0,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,0,0,1,0,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,0,0,1,1,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,0,0,1,1,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,0,0,1,1,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,0,0,1,1,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,0,1,0,0,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,1,0,0,1,0,0,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,1,0,0,1,0,0,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,1,0,0,1,0,0,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,1,0,0,1,0,1,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,1,0,0,1,0,1,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,1,0,0,1,0,1,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,1,0,0,1,0,1,1,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,1,0,0,1,1,0,0,0,,0,1,0,1,X,1,1,1,0,0,0
0,1,0,0,1,1,1,0,0,1,1,0,0,1,,0,1,1,1,X,1,1,1,0,0,0
0,1,0,0,1,1,1,0,0,1,1,0,1,0,,0,1,1,1,X,1,1,1,0,0,0
0,1,0,0,1,1,1,0,0,1,1,0,1,1,,0,1,1,1,X,1,1,1,0,0,0
0,1,0,0,1,1,1,0,0,1,1,1,0,0,,1,X,1,0,1,0,1,1,0,0,0
0,1,0,0,1,1,1,0,0,1,1,1,0,1,,1,X,1,0,1,1,1,1,0,0,0
0,1,0,0,1,1,1,0,0,1,1,1,1,0,,1,X,1,0,1,1,1,1,0,0,0
0,1,0,0,1,1,1,0,0,1,1,1,1,1,,1,X,1,0,1,1,1,1,0,0,0
0,1,0,0,1,1,1,0,1,0,0,0,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,1,0,0,0,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,1,0,0,0,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,1,0,0,0,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,1,0,0,1,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,1,0,0,1,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,1,0,0,1,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,1,0,0,1,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,1,0,1,0,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,1,0,1,0,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,1,0,1,0,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,1,0,1,0,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,1,0,1,1,0,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,1,0,1,1,0,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,1,0,1,1,1,0,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,1,0,1,1,1,1,,1,X,1,1,X,1,1,1,0,1,0
0,1,0,0,1,1,1,0,1,1,0,0,0,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,1,0,1,1,0,0,0,1,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,1,0,1,1,0,0,1,0,,1,X,1,1,X,1,1,1,0,1,1
0,1,0,0,1,1,1,0,1,1,0,0,1,1,,1,X,1,1,X,1,1,1,0,1,1
